"key","key2","value"
"czsnxuxffc","ynmgsrwncu",-1.33660650334348
"vbrbwezuvz","jabzkdqorj",0.0899147415154922
"pfpwwerhva","otuspaurwv",0.379995935078487
"esxdcfwtxl","fntaahhfoi",-0.0560342944660073
"acagzjerhg","zggxcdtasb",0.700863027559735
"miffnzkhas","ucrrntvkvt",0.253218427351156
"meowvrwljd","mokojubism",-0.695693788598687
"hxwnkjwqwx","gijffuavwd",-0.102582721638076
"tresojxaux","eatfegvfcg",1.44175077513591
"uqcgugscha","otebslsmzx",-1.86492832101911
"wfyouxfgwy","kqrhzueinn",0.340822223850413
"ejanwzsluf","fvqezylavi",-0.732236450971421
"aoxvrztdht","fpalygfkoy",1.39392483445504
"iskuujobsl","nxbejmvbix",1.86297023205568
"ksfhxlhwix","jflhnqomms",-0.911547706146982
"fzrnxnromk","uvvekmgywk",1.02893507611904
"kfsicpmlhe","tzwlqqgvnc",-1.54714382365979
"btkikmqmlb","sgsmvlphac",0.415767068271693
"kzvvzojmnw","msgwojymlj",-2.4703518818219
"zuohblycps","dsapzrduje",0.53504853762246
"htjutsrzia","wozmcnqscp",0.882188859540817
"reooglreyo","yvfodoamap",-0.587945405801205
"tlqxodnyyu","kewtauuvgb",0.246486297252285
"fyiajsumko","jxkjounsew",-1.33851637764822
"zyedlyqvtt","ymrclwhdki",0.235588004360697
"txpxgjootn","htjopjhhpr",-1.27495462489689
"brcszxxmbf","qnzcmjnars",0.705414756913833
"nwtjbypplk","hasqechhgq",-1.22982628820009
"syvldblzgr","tavmaolnev",0.400399865698671
"rfroqdnkkz","erlbuiifin",0.88495675134696
"aagozueqxo","ocemttqnih",0.617677128746676
"fsjigezdvp","pdgkcgomkx",-1.10579299504145
"hefczbasqx","ngmtrxyfjc",0.962491280662092
"qhatcjfljv","pzutabcjjx",0.14756960732321
"mhxyelfaul","sauihayyla",-0.808733318259169
"lulcfuncvb","ubcdgebeno",0.0822248823757449
"srbusczkpi","ldudrnbwor",2.48763655863048
"yqvvzpuovy","tghziuxlhl",1.46542138044743
"etreolqubw","paamtzvagl",0.331258324757007
"fyrmxtcsjn","fpdlrcxssm",0.109939285934746
"rhgqxbixoc","qpbtdcksud",-1.21030278211242
"mushyvdwjd","jlmbrptoni",-0.913283907903602
"qtawjfxkis","rwpvmlvuqn",0.564418725343596
"rjtfhqtqyt","imakizstov",0.00986342580960211
"chzcybelup","bqpyjhxvgo",0.185974005247669
"tzkreadnfb","atbbetjkhf",-0.348341815118494
"ulqblptrbr","ugtvgyuavp",-0.371093539145234
"zvutpyakal","xpypgiqxng",0.90752423628357
"zpioyaaowj","tnhvskgdqm",0.803669048144973
"kubttvrzzn","qahgsmunvs",-0.253744464997145
"limpuobngo","wajudycrue",0.698898249350301
"ilucepqsiw","orpzztsaeb",1.19587792609487
"edmhmpilom","etxmoyyhjn",0.795126796752883
"npyvmvgjwk","rqvgqhjjbn",-0.778973894873726
"mgkujqyfba","rwxbkyyovz",0.135583868576067
"ukgolcrutb","cdkckpttvq",-0.0355382905386869
"fukubxmqxn","swtwbkihaw",-0.861310141114597
"sshkdsvvor","bipevgbytd",-1.02346951415855
"bebubswomj","sobkcqwhdf",0.182956872246171
"jyypyijtvm","dbmgmxkxpr",-1.16624430531677
"vgfvyztzgw","gsipfgxaeu",-0.819801619590832
"hvmpsndykw","svbbpmnylw",-0.590342051510046
"onieztkjkd","wrjkraxylz",-0.5078982630812
"iqmdkqvefn","vubzimafsh",-1.13108375302441
"pbpmfndcdq","gmztccptul",-0.165814536333055
"enioybgamu","wdazqadnop",1.90887847634225
"yvldhqornt","iqwkbatacp",-0.109108063093937
"oexafoybgn","rexdaaedyh",1.00620419099638
"onjejulfvu","qwqlojeuvr",-0.372746582123123
"hounafwluv","wvgfhbfsyu",-0.317744847512629
"lurrdutfvs","cmbumtrrak",2.02683693244407
"jpzyvhqdcw","waljpbfvbk",-0.668044933971185
"ahnuziivts","pidogxucfx",1.07623639596479
"mdrjuurcec","hslpooitcu",1.11746670921875
"kkajszyxek","eoraxaeovl",0.255507564122885
"axzrbxoeay","nzfzejwmzl",-2.5738624481596
"jlmceriwli","ogwnkhhppr",-1.12667569787922
"okfqlszcrc","irvkbgnnit",-0.179883499650991
"wtkbkzkkdz","zbrkumbjeb",-0.748387298225599
"kxuuozrbkh","bgaosqbvww",-2.82247434034584
"nwqgkugdrc","qwfzajcbmb",-0.340893281759451
"prsufoqvem","oqcgdsbtxh",-0.584681558748677
"gmauclisig","htmrwgbvax",-2.05914472052466
"hombgvagjr","jcaqoyetut",2.28030887171873
"mxkovmanoo","bvnqrrflhb",-1.37108123557699
"xadseeferw","rdtvjrsjge",0.807039248718514
"klwykavbqs","kelihizowm",-0.855378157166929
"flzefrraud","vkzlanwbmq",0.214487381120023
"rhhohuouly","mxvlvpfmpr",0.106770661747921
"brjdyjnhcj","juirszpyem",-0.543032412057329
"zvuaqdgghf","bsrzjhyuzn",1.21030441379937
"dmbdvlxldk","hfwkuicpec",-0.700653112926551
"nffwnzulov","pxjnqhyuap",-1.09472235024985
"vsijvhxlqb","ytwputoais",-0.369165548234153
"sajeaxwtxq","mjjqbioqqn",1.43297401919958
"gprhidssna","gxxssiqwyd",-0.828399946983812
"oxrjjwcvid","rmxakhevkd",-1.30573932853233
"viztctddah","oqphzxojkz",-0.377383215082482
"ajsdyfblpa","iphoppqhft",-0.0941378671965207
"mxmjinksgv","glkffwskzb",0.301130606184563
"ujsaaxhxni","tnrgzhashb",-0.523308644375297
"vnkssskuor","qslcerjrpx",2.1987475199881
"keempybxit","ffuhyhemgs",0.822618264040144
"fcsjnikifp","jarmwlwyaj",0.103470442170543
"ktlzqxjuch","zwonionvqx",1.25656060784192
"rwmgpnkeft","fucercfwia",-1.71510021475372
"nfbjlgxstj","sizclxjodt",-1.33618474403554
"rzsgafjxbo","wqpjleuygl",0.529649442807377
"nzomvlbczr","kjmcwpfrdy",-0.299601532558531
"vphyblsbhh","qngqpqirnq",1.43236001210986
"szxpigplto","sbdltziuij",1.22022731167571
"wiwwovafon","lbtphetaod",-0.421356584734561
"aggkbfjupv","ociuitthpt",0.0683611223638685
"xilwwnoukf","wgvttqnbkg",0.192651975401463
"zslnigbxut","lcjzrlaptt",1.19301157197431
"nekbjhawbu","diobkchkbs",-2.41609012022935
"jdvswferbi","zcwsvjnqwh",0.108154142700121
"ubkdbwrmtn","uaysqjlxtb",-0.573253621159036
"pnjuztxeuv","kmvziuqxwa",-0.0915925329083515
"qixjskujyo","xnelrcgohd",1.0355710110381
"wszfivurnv","xhwrdtwuew",0.0355448493099039
"ocvsinduta","epcmtpumry",-0.636155947367948
"gfhgkgqifa","qtpdbukkib",-1.28518012339558
"xuitrglqrj","hbpcwxstmh",-1.97358068695074
"wbcxcisfjg","omdsfvkryx",-0.802465671198002
"gujpptruxh","htqlqjqnei",0.596843829513981
"kwzrgnprkj","ftilicoaqc",-0.19100426834144
"uwbgexryxg","zzxgljnkmo",0.104798143009567
"duszmpvaku","jvwgyvsgrv",-0.437468209238243
"fzzngryojt","nolnzviqbn",1.24234099455077
"enfdsymyjm","zkxjppkxth",1.2413075858926
"ryojckazvq","fcpipoojss",1.39270545601038
"wafieihaqt","vdvotkjobi",-0.68331509134295
"yonqjduvmm","lhiycnvgjc",-0.46577463821022
"obfwaqpncr","wdfwrwnyft",-0.579463505111894
"pxwsfpycdu","hhdulcedxw",-0.258814027302114
"rvjfhhtjmo","ttarkruxpj",0.356160015366838
"gwibvdkptf","ztloqehewq",-1.71687264252148
"bqltupnfuz","lfohnbfsta",0.0421033215511449
"xodqolqlcz","jugwjlchhl",0.447097158761157
"bcnbzqzjos","kkqsgawcyo",-1.0977482371358
"zagsfxfjqc","dsxkfkcbmw",0.895369586657809
"paowxbzwas","gqgthjhhgr",-0.765824756129308
"eejsywwoku","raufnwkmku",-0.080960573035279
"xomvarqzqa","wjyredskzy",-2.57131254793982
"aeguofhfqn","pyytjypdnd",0.589254969933513
"phczgkvjcx","wzbyyzvlqk",-0.211691615274281
"gqubeqjvlr","bqedrvwlpp",-0.935897331432212
"xmjojutfam","vyicpazqkp",0.491332496567736
"vctvpekpao","iqckewjygy",1.92922621864685
"sgkyctdezz","moyltefbpv",-2.01011050692747
"fjujwmqveg","lintltdmvs",-0.648651521594068
"sgnovtitgf","kasesaylqu",0.651172080331799
"feukxlpxry","kkuwjqqmlk",-0.43829301790895
"lrojunfvbj","grkzxovfnz",-0.286610039802936
"iyenwfwktr","gboyqusgnq",0.376635200237501
"ovxxfugsbi","plrztmotvr",-1.33657180805719
"gcywwufqkj","stxdrjofrv",2.08043187751122
"mhbdthlhxw","puybtzhgsw",1.26446276575413
"xzrduofwgq","ysbwnuivuu",-2.11708504084508
"ziqcwlhtyt","dgitqtemps",-1.20553545932319
"vwpwrydsrp","oxczsrlfrx",0.742939941773751
