"key","key2","value2"
"jjvccnmqbk","eyzgzbniqy",-0.528975804401419
"phdqecmvyb","hcpeurvwta",-0.0584338743687642
"kahhjorphn","qkkpinxadc",1.44435783565416
"frdsiamjjw","qiomlywnmb",-2.2392392333872
"tevjftmzik","jwmtjrnjrq",1.81578743641205
"lkwgbuvjiw","okexnqpskv",-0.95989979756908
"cmookwuxpz","wtnvxfpzvs",-1.61284884490653
"utbybzrvsv","axkijkbocn",-1.04925089134638
"capebqgeeb","aaxgrbjwkz",1.59192219089781
"amfirxpari","idpdgdxsqq",-1.29493758446339
"jwsnjrfjpz","loggfurzlz",-3.30317995257162
"ijujnqmwic","gqknojvxpk",-1.07282655749756
"odvglccmlr","sjyzavmane",-0.48886756567358
"ouplxksmhc","darnrjuryx",2.22822847103817
"gfiasfcwkn","lpdfycurtp",-1.50425007769917
"bopnpwmvhe","xkryhenhtw",-0.671736236649766
"yfomervxjq","imxmoyvlra",0.0779415223641957
"bixjozqtuo","spjefdiorq",-0.012698789311613
"jnvkovvdej","zjoxmiyema",-1.46086690572208
"heicmhlziy","inzglrwpmv",0.376004517578159
"ccmcqkadri","xzxopahnbk",-0.325457172041331
"lgbvemvcbs","kjcddyuaee",1.72809285324797
"vaktqtrgko","fregedntpr",1.81236699065707
"frvsvcijsn","uektxeafjq",-0.460796631715825
"tnwkxirzdz","cxxxgodjoh",0.14262694884905
"vjcbtscwjv","hfowkrkkkf",-0.680100370002986
"xvzjjvmayx","hxvgganeki",-1.07405873801218
"achieuqnzx","yxnizbtrzl",-0.389228991224609
"ynuavkrhvf","rhogxrerui",0.0379756600440166
"ecqbndfgme","owcdtlecih",1.14491532311291
"ljqjmfljcj","jhsqphrlyk",-0.060871955874013
"nwjachhcpm","qegcdhhdns",-1.60531922678897
"cwtwjczxrx","mucbtpsdta",1.35258981624667
"rzbiiwfrzh","oncuakqfjr",-0.0452124651237619
"xzfdkpwxdj","wigrehflrh",-1.3459392874511
"mgysgpsybk","ujosjknbge",-0.7357016054111
"aevnmmnurj","pygziszwio",0.188527471897068
"nxuzyvuhgk","adloelpjwy",-0.138367657726068
"jmafsthudj","qdvyokjajv",0.198851466603395
"cexocvokme","azlybodonb",1.09429832351977
"algmldzgkb","uhxavudoud",1.47396136123179
"ldtphfuiqn","afyjgbapnp",0.385149177879411
"qqbspmiehf","fsesrytjfh",0.477257123997281
"orhghqcgpu","xlyuudlrlg",0.238104397562528
"bsxbsvadpe","gdsrtbdmzw",-0.268494859710132
"zxegxrxuqp","innsadyxdv",0.915501486625924
"kzswbiqlio","fjtkiyrcyi",1.39102605682846
"ovwfvqwslv","azeoxijnua",0.158139736960103
"veduhxjxel","heqgmqikhu",-0.626250095167553
"ljgoncheak","mtngzxpugy",-1.10229073329165
"wzwhzuosei","jbppkjtxzl",0.682459245466362
"trmvzcrwlk","bgbcvnebzd",1.44976579946245
"ylrtfmkzzw","lbyoifmryg",-0.232811484948279
"csqfkeaehw","bxtjcpoena",-0.80954480882456
"bccosvhtjn","czahzhknxo",-0.433274048227914
"ijnbxntlwy","cpdxodjytq",-2.31053445048525
"asyjjamzyw","rufadjipip",0.990822060693952
"rqfxxuvvbj","sgfflxljmm",0.362403162657178
"pfucnzkslc","frrezcqcyv",-0.650564812350231
"dhsskzxsac","sdsuqlcvgx",-0.133454646428267
"wxjzbjpaak","berssyovqa",1.69221329852558
"xwwmoprgky","lwcapzuxlv",0.632013915692959
"gwmfmyjnpi","hfrferrljx",0.345346969464575
"hpbeoxndfn","mfmogkkjvj",-0.782077580941034
"jdprhcbuwj","uabcftosdp",-0.438279396089945
"tsjjzrtfnu","rdxlwidjec",0.879723297072318
"kyohnotyeg","yofgpwdaca",0.98199904882585
"fwidhcnudk","plnkylokkh",0.542148453234862
"pzvuypkoew","bjpfoaqvcz",-0.133239992058638
"pxaqzflifk","fxxgeroftf",-1.2451589138025
"bpildwhwlm","imxiypszyb",1.11748120157576
"uxmsftaadl","pdlfntnqpj",2.41144366700232
"tjcpfgudxm","eeezuuazrt",-0.958896890429535
"vcqwjvrjmj","qofxpyajfk",-1.34297567643718
"affvooesac","tgaqfwuukg",0.362033112974778
"pygzoddjaq","mganslrkqn",0.549935345017074
"moprwhcsmw","cmyetbalqn",-0.837622678595663
"kcjnwrxxcq","geddqauawl",0.508510600578206
"idvnneyiik","ggdbtwjsjg",-0.609818809490538
"bozunpruuy","ndwdpayktl",-0.479721987391965
"kfgmhuwcch","cdlbxhamox",0.427258585598279
"ulrthwqdix","axkpitemdg",1.6820097927226
"sfemjnlvpw","fojvgiwyzb",0.319634744993616
"cwzjkyzsdz","hzinmevqdt",-0.240487969171331
"kamblhnfck","xalhxjxayl",-0.935233536774206
